Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
6-Apr,LAD,@ PHI,4,1,0,0,0,0,0,0,1,0,3,0,0,0.268,0.4,0.512,0,0,0
7-Apr,LAD,@ WSH,4,1,3,8,0,1,1,2,1,0,1,0,0,0.311,0.436,0.644,0,0,0
8-Apr,LAD,@ WSH,5,0,1,1,0,0,0,0,0,0,2,0,0,0.3,0.417,0.6,0,0,0
9-Apr,LAD,@ WSH,4,2,2,2,0,0,0,0,1,0,1,1,0,0.315,0.431,0.593,0,0,0
11-Apr,LAD,vs CHC,4,0,0,0,0,0,0,0,0,0,2,0,0,0.293,0.406,0.552,0,0,0
12-Apr,LAD,vs CHC,3,0,1,1,0,0,0,0,0,0,0,1,0,0.295,0.403,0.541,0,0,0
13-Apr,LAD,vs CHC,5,0,0,0,0,0,0,0,0,0,1,0,0,0.273,0.377,0.5,0,0,0
14-Apr,LAD,vs COL,5,3,3,6,0,0,1,1,0,0,0,0,0,0.296,0.39,0.549,0,0,0
15-Apr,LAD,vs COL,4,2,0,0,0,0,0,0,1,0,2,1,0,0.28,0.379,0.52,0,0,0
16-Apr,LAD,vs COL,5,1,2,5,0,0,1,2,0,0,2,0,0,0.288,0.38,0.55,0,0,0
20-Apr,LAD,@ TEX,3,0,0,0,0,0,0,0,1,0,1,0,0,0.277,0.375,0.53,0,0,0
22-Apr,LAD,@ CHC,4,2,1,1,0,0,0,0,1,0,3,0,0,0.276,0.376,0.517,0,0,0
23-Apr,LAD,@ CHC,5,0,1,1,0,0,0,0,0,0,1,0,0,0.272,0.368,0.5,0,0,0
25-Apr,LAD,vs PIT,4,0,0,0,0,0,0,0,0,0,1,0,0,0.26,0.355,0.479,0,0,0
26-Apr,LAD,vs PIT,5,2,3,7,2,1,0,1,0,0,1,1,0,0.277,0.365,0.525,0,0,0
27-Apr,LAD,vs PIT,4,1,2,3,1,0,0,0,1,0,2,0,0,0.286,0.375,0.533,0,0,0
28-Apr,LAD,vs MIA,2,1,1,1,0,0,0,0,3,0,1,1,0,0.29,0.392,0.533,0,0,0
29-Apr,LAD,vs MIA,4,2,1,4,0,0,1,1,1,0,2,1,0,0.288,0.392,0.55,0,0,0
30-Apr,LAD,vs MIA,4,3,1,3,0,1,0,0,1,0,0,1,0,0.287,0.393,0.557,0,0,0
2-May,LAD,@ ATL,4,0,0,0,0,0,0,0,0,0,2,0,0,0.277,0.381,0.538,0,0,0
3-May,LAD,@ ATL,4,3,3,6,0,0,1,1,1,0,1,0,0,0.293,0.396,0.569,0,0,0
4-May,LAD,@ ATL,3,0,1,2,1,0,0,0,1,0,1,0,0,0.294,0.399,0.571,0,0,0
5-May,LAD,@ MIA,4,2,1,4,0,0,1,2,1,0,2,1,0,0.292,0.399,0.585,0,0,0
6-May,LAD,@ MIA,5,1,2,6,1,0,1,2,0,0,2,0,0,0.296,0.399,0.607,0,0,0
