Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,GG,AS,SS,MVP,Position
36,Salvador Perez,34,2.5,158,652,590,58,160,28,0,27,104,0,0,44,129,0.271,0.33,0.456,0.786,120,0.339,116,269,17,11,0,6,9,0,1,1,,2.0
37,Jeremy Pena,26,4.1,157,650,602,78,160,28,2,15,70,20,6,25,111,0.266,0.308,0.394,0.701,99,0.311,99,237,15,14,3,6,1,0,0,0,,6.0
38,Randy Arozarena,29,1.7,154,648,549,77,120,33,0,20,60,20,10,73,169,0.219,0.332,0.388,0.72,109,0.323,113,213,7,22,0,4,0,0,0,0,,7.0
39,Matt Chapman,31,7.1,154,647,575,98,142,39,2,27,78,15,2,64,158,0.247,0.328,0.463,0.79,125,0.351,129,266,13,6,0,2,3,1,0,0,11.0,5.0
40,Ryan McMahon,29,2.5,153,645,567,68,137,28,0,20,65,4,6,69,185,0.242,0.325,0.397,0.722,94,0.311,90,225,9,3,0,4,4,0,1,0,,5.0
41,Manny Machado,31,3.1,152,643,593,77,163,30,0,29,105,11,2,45,124,0.275,0.325,0.472,0.797,121,0.344,118,280,25,1,0,4,6,0,0,1,16.0,5.0
42,JJ Bleday,26,2.1,159,642,572,74,139,43,4,20,60,2,3,67,125,0.243,0.324,0.437,0.762,120,0.333,121,250,8,2,1,0,2,0,0,0,,8.0
43,Nico Hoerner,27,3.7,151,641,582,86,159,35,1,7,48,31,6,44,66,0.273,0.335,0.373,0.708,100,0.327,105,217,8,12,0,3,1,0,0,0,,4.0
44,Isaac Paredes,25,2.7,153,641,542,64,129,25,1,19,80,1,1,76,105,0.238,0.346,0.393,0.739,111,0.331,115,213,17,17,0,6,2,0,1,0,,5.0
45,Eugenio Suarez,32,3.1,158,640,571,90,146,28,2,30,101,2,1,49,176,0.256,0.319,0.469,0.788,116,0.34,115,268,10,9,0,11,0,0,0,0,,5.0
46,Freddie Freeman,34,4.7,147,638,542,81,153,35,2,22,89,9,2,78,100,0.282,0.378,0.476,0.854,143,0.37,142,258,13,10,0,8,9,0,1,0,17.0,3.0
47,Adley Rutschman,26,3.4,148,638,571,68,143,21,1,19,79,1,0,58,103,0.25,0.318,0.391,0.709,106,0.313,107,223,9,2,0,7,3,0,1,0,,2.0
48,Adolis Garcia,31,0.3,154,637,580,68,130,27,0,25,85,11,5,45,177,0.224,0.284,0.4,0.684,95,0.302,94,232,12,6,0,6,2,0,0,0,,9.0
49,Jonathan India,27,1.7,151,637,533,84,132,28,2,15,58,13,2,80,125,0.248,0.357,0.392,0.75,106,0.34,108,209,16,15,2,7,0,0,0,0,,4.0
50,Masyn Winn,22,4.9,150,637,587,85,157,32,5,15,57,11,5,41,109,0.267,0.314,0.416,0.73,103,0.317,100,244,1,1,3,5,1,0,0,0,,6.0
51,Yordan Alvarez,27,5.4,147,635,552,88,170,34,2,35,86,6,0,69,95,0.308,0.392,0.567,0.959,170,0.406,169,313,14,10,0,4,16,0,1,0,9.0,7.0
52,Nolan Arenado,33,2.5,152,635,578,70,157,23,0,16,71,2,2,44,92,0.272,0.325,0.394,0.719,102,0.315,99,228,15,5,0,7,2,0,0,0,,5.0
53,Willi Castro,27,1.6,158,635,558,89,138,31,5,12,60,14,9,51,150,0.247,0.331,0.385,0.717,101,0.326,108,215,8,21,1,4,0,0,1,0,,6.0
