Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,HBP,SH,BOP,Pos
27,404,59,2021-06-09,ATL,@,PHI,L 1-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P
28,405,63,2021-06-13,ATL,@,MIA,W 6-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P
29,406,65,2021-06-16,ATL,,BOS,L 8-10,9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
30,407,66,2021-06-17,ATL,,STL,W 4-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,P
31,408,69,2021-06-20 (2),ATL,,STL,W 1-0 (7),7-GF(7),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
32,409,71,2021-06-21 (2),ATL,@,NYM,W 1-0 (7),7-GF(7),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,P
33,410,72,2021-06-22,ATL,@,NYM,W 3-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
34,411,75,2021-06-25,ATL,@,CIN,W 3-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
35,412,77,2021-06-27,ATL,@,CIN,W 4-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P
36,413,80,2021-07-01,ATL,,NYM,W 4-3,9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,P
37,414,81,2021-07-02,ATL,,MIA,W 1-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
38,415,83,2021-07-04,ATL,,MIA,W 8-7 (10),10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
39,416,88,2021-07-10,ATL,@,MIA,W 5-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,P
40,417,90,2021-07-16,ATL,,TBR,L 6-7 (10),9-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
41,418,93,2021-07-20,ATL,,SDP,W 2-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
42,419,95,2021-07-21 (2),ATL,,SDP,L 5-6 (7),7-GF(7),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
43,420,100,2021-07-26 (1),ATL,@,NYM,W 2-0 (7),7-GF(7),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
44,421,104,2021-07-29,ATL,@,NYM,W 6-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
45,422,106,2021-07-31,ATL,,MIL,W 8-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P
46,423,109,2021-08-04,ATL,@,STL,W 7-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
47,424,110,2021-08-05,ATL,@,STL,W 8-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,P
48,425,112,2021-08-07,ATL,,WSN,L 2-3,9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
49,426,114,2021-08-10,ATL,,CIN,W 3-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
50,427,115,2021-08-11,ATL,,CIN,W 8-6 (11),9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P
51,428,117,2021-08-13,ATL,@,WSN,W 4-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
52,429,119,2021-08-15,ATL,@,WSN,W 6-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P
53,430,121,2021-08-17,ATL,@,MIA,W 2-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P
54,431,122,2021-08-18,ATL,@,MIA,W 11-9,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P
55,432,124,2021-08-21,ATL,@,BAL,W 5-4,,,,,,,,,,,,,,,,,,P
56,433,125,2021-08-22,ATL,@,BAL,W 3-1,,,,,,,,,,,,,,,,,,P
57,434,127,2021-08-24,ATL,,NYY,L 4-5,9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
58,435,128,2021-08-27,ATL,,SFG,W 6-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P
59,436,134,2021-09-02,ATL,@,COL,W 6-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
60,437,138,2021-09-07,ATL,,WSN,W 8-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P
61,438,140,2021-09-09,ATL,,WSN,W 7-6 (10),9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
62,439,141,2021-09-10,ATL,,MIA,W 6-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
63,440,143,2021-09-12,ATL,,MIA,W 5-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P
64,441,145,2021-09-15,ATL,,COL,L 2-3 (10),9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
65,442,146,2021-09-17,ATL,@,SFG,L 5-6 (11),9-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P
66,443,148,2021-09-19,ATL,@,SFG,W 3-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
67,444,154,2021-09-25,ATL,@,SDP,W 10-8 (10),10-GF(10),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
68,445,155,2021-09-26,ATL,@,SDP,W 4-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
69,446,156,2021-09-28,ATL,,PHI,W 2-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
70,447,158,2021-09-30,ATL,,PHI,W 5-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
71,448,161,2021-10-03,ATL,,NYM,W 5-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,P
,,,,,,,55-16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
